"","Hectare.Squirrel.Number","Above.Ground.Sighter.Measurement","Primary.Fur.Color"
"680",1,2,"Gray"
"681",4,12,"Cinnamon"
"682",3,4,"Gray"
"683",8,4,"Black"
"684",3,15,"Gray"
"685",1,17,"Cinnamon"
"686",5,30,"Gray"
"687",7,11,"Cinnamon"
"688",1,5,"Gray"
"689",1,15,"Gray"
"690",1,4,"Gray"
"691",3,1,"Gray"
"692",6,1,"Gray"
"693",1,9,"Cinnamon"
"694",6,23,"Gray"
"695",3,5,"Gray"
"696",8,1,"Cinnamon"
"697",3,8,"Gray"
"698",3,50,"Gray"
"699",1,25,"Gray"
"700",4,6,"Gray"
"701",2,8,"Gray"
"702",1,35,"Gray"
"703",4,8,"Gray"
"704",2,2,"Gray"
"705",6,12,"Gray"
"706",5,20,"Cinnamon"
"707",13,4,"Gray"
"708",1,10,"Gray"
"709",11,15,"Gray"
"710",4,5,"Gray"
"711",5,12,"Gray"
"712",3,15,"Gray"
"713",2,3,"Gray"
"714",1,8,"Gray"
"715",2,20,"Gray"
"716",5,10,"Unknown"
"717",3,2,"Gray"
"718",1,20,"Gray"
"719",6,35,"Gray"
"720",1,2,"Gray"
"721",7,10,"Gray"
"722",9,5,"Gray"
"723",4,10,"Gray"
"724",1,40,"Gray"
"725",1,20,"Gray"
"726",12,20,"Gray"
"727",9,7,"Black"
"728",4,6,"Gray"
"729",4,8,"Gray"
"730",6,5,"Cinnamon"
"731",4,10,"Unknown"
"732",4,2,"Cinnamon"
"733",3,8,"Gray"
"734",1,5,"Gray"
"735",4,20,"Unknown"
"736",1,3,"Black"
"737",2,6,"Gray"
"738",3,35,"Gray"
"739",5,13,"Gray"
"740",4,4,"Gray"
"741",5,50,"Gray"
"742",4,15,"Cinnamon"
"743",2,12,"Gray"
"744",1,20,"Gray"
"745",4,60,"Unknown"
"746",2,40,"Gray"
"747",2,2,"Gray"
"748",14,12,"Gray"
"749",2,15,"Gray"
"750",6,19,"Gray"
"751",2,4,"Gray"
"752",8,65,"Gray"
"753",7,1,"Gray"
"754",4,40,"Gray"
"755",6,25,"Gray"
"756",2,30,"Unknown"
"757",5,20,"Gray"
"758",5,6,"Gray"
"759",4,4,"Gray"
"760",1,3,"Gray"
"761",3,25,"Gray"
"762",11,10,"Gray"
"763",2,6,"Gray"
"764",1,20,"Gray"
"765",1,1,"Gray"
"766",5,20,"Gray"
"767",2,10,"Gray"
"768",1,10,"Gray"
"769",3,20,"Gray"
"770",2,7,"Gray"
"771",1,10,"Gray"
"772",3,15,"Cinnamon"
"773",5,4,"Cinnamon"
"774",3,50,"Gray"
"775",2,14,"Gray"
"776",13,10,"Cinnamon"
"777",3,30,"Gray"
"778",5,4,"Gray"
"779",1,8,"Gray"
